Accepted Symbol,Scientific Name,Common Name,State and Province,Duration,Growth Hit,Native Status,Invasive,Image Gallery,Active Growth Period,After Harvest Regrowth Rate,Flower Color,Flower Conspicuous,Fruit Color,Fruit Conspicuous,Growth Rate,"Height, Mature (feet)",Lifespan,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Drought Tolerance,Moisture Use,Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End
GO2,Galium boreale,northern bedstraw,"[AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,"Forb/herb, Subshrub",Native,,Photo,Spring and Summer,Slow,White,Yes,Brown,No,Moderate,3.0,Moderate,None,Yes,Yes,No,Medium,Medium,55,6,None,Intermediate,Late Spring,Summer,Summer
GOLA,Gordonia lasianthus,loblolly bay,"[AL, FL, GA, MS, NC, SC]",Perennial,"Tree, Shrub",Native,,Photo,"Spring, Summer, Fall",,White,Yes,Brown,No,Slow,65,Moderate,None,Yes,Yes,No,Low,High,70,20,None,Tolerant,Early Summer,Summer,Fall
GRRO,Grevillea robusta,silkoak,"[FL, HI]",Perennial,Tree,Introduced,HEAR,Photo,"Spring, Summer, Fall",,Yellow,Yes,Brown,Yes,Rapid,105,Moderate,Slight,Yes,Yes,Yes,Medium,Medium,95,36,None,Intolerant,Summer,Fall,Winter
GRSP,Grayia spinosa,spiny hopsage,"[AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,"Subshrub, Shrub",Native,,Photo,"Fall, Winter and Spring",,Red,No,White,No,Slow,3.0,Long,None,Yes,Yes,Yes,High,Low,25,20,High,Intolerant,Late Spring,Summer,Summer
GUSA,Guaiacum sanctum,holywood,[FL],Perennial,"Shrub, Tree",Native,,Photo,Spring,,Blue,Yes,Yellow,Yes,Slow,30,,,Yes,No,Yes,Medium,,60,36,,,Spring,Spring,Fall
GUSA2,Gutierrezia sarothrae,broom snakeweed,"[AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, NY, OK, OR, SC, SD, TX, UT, WA, WY]",Perennial,"Subshrub, Shrub, Forb/herb",Native,"NE&GP, WSWS",Photo,Spring and Summer,Slow,Yellow,No,Brown,Yes,Moderate,1.5,Moderate,Slight,Yes,Yes,Yes,High,Medium,30,16,Low,Intolerant,Early Summer,Summer,Fall
GYDI,Gymnocladus dioicus,Kentucky coffeetree,"[AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV]",Perennial,Tree,Native,,Photo,Spring and Summer,,White,Yes,Green,Yes,Slow,100,Long,Severe,Yes,Yes,Yes,Medium,Medium,,36,Medium,Intolerant,Early Summer,Fall,Spring
HACA3,Halesia carolina,Carolina silverbell,"[AL, FL, GA, MS, NY, SC]",Perennial,"Shrub, Tree",Native,,Photo,Spring and Summer,,White,Yes,Red,No,Moderate,30,Moderate,None,Yes,Yes,No,Low,Medium,80,40,None,Tolerant,Mid Spring,Summer,Fall
HADI3,Halesia diptera,two-wing silverbell,"[AL, AR, FL, GA, LA, MS, SC, TX]",Perennial,"Tree, Shrub",Native,,Photo,Spring,,White,Yes,,No,Moderate,15,,,No,Yes,Yes,Low,,68,36,None,Intermediate,Spring,,
HAVI4,Hamamelis virginiana,American witchhazel,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,Yes,Slow,20,Long,None,No,Yes,Yes,Low,Medium,60,20,None,Intermediate,Fall,Spring,Summer
HEAN2,Helianthus angustifolius,swamp sunflower,"[AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Yellow,Yes,Brown,No,Moderate,5.6,Moderate,None,Yes,Yes,No,Medium,Medium,65,6,None,Intermediate,Late Summer,Summer,Fall
HEAN3,Helianthus annuus,common sunflower,"[AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Annual,Forb/herb,Native,"NE&GP, STATE, SWSS, WSWS",Photo,Summer,,Yellow,Yes,Blue,Yes,Rapid,9.0,,None,Yes,Yes,Yes,Medium,Medium,60,8,Medium,Intolerant,Summer,Summer,Fall
HEAR22,Hesperocyparis arizonica,Arizona cypress,"[AZ, CA, NM, NV, TX, UT]",Perennial,Tree,Native,,,,,,,,,,,,,,,,,,,,,,,,
HEAR22,Cupressus arizonica,,,,,,,Photo,Summer,,Yellow,No,Brown,No,Moderate,50,Long,None,Yes,Yes,Yes,High,Low,30,12,Low,Tolerant,Spring,Summer,Fall
HEAU,Helenium autumnale,common sneezeweed,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Forb/herb,Native,NE&GP,Photo,Spring and Summer,Slow,Yellow,Yes,Brown,No,Rapid,4.9,Moderate,Severe,Yes,Yes,Yes,Low,Medium,60,6,Low,Intolerant,Fall,Fall,Fall
HEBO,Hedysarum boreale,Utah sweetvetch,"[AK, AZ, CO, ID, MT, ND, NM, NV, OK, OR, SD, TX, UT, WA, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Red,Yes,Brown,No,Moderate,2.0,Moderate,None,Yes,Yes,Yes,High,Medium,18,16,Low,Intolerant,Late Spring,Spring,Summer
HECO10,Heteropogon contortus,tanglehead,"[AZ, CA, FL, HI, NM, TX]",Perennial,Graminoid,Native,STATE,Photo,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,0.7,Moderate,None,Yes,Yes,No,High,Low,14,10,Low,Intolerant,Early Summer,Summer,Fall
HECOC8,Hesperostipa comata ssp. comata,needle and thread,"[AZ, CA, CO, IA, ID, IL, IN, KS, MI, MN, MT, ND, NE, NM, NV, NY, OK, OR, RI, SD, TX, UT, WA, WI, WY]",Perennial,Graminoid,Native,,Photo,Spring,Slow,White,No,White,Yes,Moderate,3.0,Moderate,None,Yes,Yes,No,High,Low,20,16,None,Intolerant,Early Summer,Summer,Fall
HECU3,Heliotropium curassavicum,salt heliotrope,"[AL, AR, AZ, CA, CO, DE, FL, GA, HI, ID, IL, KS, LA, MD, ME, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OK, OR, PA, SC, SD, TX, UM, UT, VA, WA, WY]","Annual, Perennial","Forb/herb, Subshrub",Native,,Photo,"Spring, Summer, Fall",Slow,White,Yes,Brown,No,Moderate,1.2,Moderate,None,No,Yes,Yes,Medium,Medium,24,10,High,Intolerant,Mid Spring,Summer,Fall
HECY2,Heuchera cylindrica,roundleaf alumroot,"[CA, ID, MT, NV, OR, WA, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Rapid,White,Yes,Brown,No,Rapid,6.0,Short,None,Yes,No,No,High,Low,35,6,None,Intermediate,Mid Spring,Summer,Fall
HEDE4,Helianthus debilis,cucumberleaf sunflower,"[AL, CT, FL, GA, LA, MA, MD, ME, MI, MS, NC, NH, PA, RI, SC, TX, VA, VT, WV]","Annual, Perennial",Forb/herb,Native,,Photo,Spring and Summer,Slow,Yellow,Yes,Brown,No,Slow,0.5,Moderate,None,Yes,Yes,No,Medium,Medium,60,14,Medium,Intolerant,Summer,Summer,Fall
HEFL,Helenium flexuosum,purplehead sneezeweed,"[AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,Forb/herb,Native,,Photo,Spring,Slow,Yellow,Yes,Brown,No,Moderate,3.2,Short,None,Yes,Yes,Yes,Medium,Low,60,6,None,Intolerant,Summer,Summer,Fall
HEGR4,Helianthus grosseserratus,sawtooth sunflower,"[AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, SD, TN, TX, VA, WA, WI, WV]",Perennial,Forb/herb,Native,NE&GP,Photo,"Spring, Summer, Fall",Slow,Yellow,Yes,Brown,No,Moderate,5.0,Moderate,None,Yes,Yes,Yes,Medium,Medium,40,12,None,Intolerant,Late Summer,Summer,Fall
HEHE,Hedera helix,English ivy,"[AL, AR, AZ, CA, CT, DC, DE, FL, GA, HI, ID, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OR, PA, SC, TN, TX, UT, VA, WA, WV]",Perennial,Vine,Introduced,"Cal-IPC, SEEPPC, STATE, WI",Photo,Spring and Summer,,,No,,No,Moderate,5.0,Long,None,Yes,Yes,Yes,Low,Medium,65,12,Low,Tolerant,Late Spring,,
HEMA2,Helianthus maximiliani,Maximilian sunflower,"[AL, AR, CA, CO, CT, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, VA, WA, WI, WV, WY]",Perennial,Forb/herb,Native,,Photo,Summer and Fall,Moderate,Yellow,Yes,Brown,No,Rapid,5.0,Moderate,None,Yes,Yes,Yes,Medium,Medium,35,16,Low,Intolerant,Late Summer,Summer,Fall
HEMA3,Hesperis matronalis,dames rocket,"[AK, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY]","Biennial, Perennial",Forb/herb,Introduced,"NE&GP, SEEPPC, STATE, WI",Photo,Spring and Summer,Slow,Purple,Yes,Brown,No,Rapid,4.5,Short,None,No,Yes,No,Medium,Medium,60,12,None,Intermediate,Spring,Summer,Fall
HEMA80,Heracleum maximum,common cowparsnip,"[AK, AZ, CA, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,White,Yes,Brown,No,Moderate,8.0,Short,Slight,Yes,Yes,Yes,Low,High,45,12,None,Intolerant,Early Summer,Summer,Summer
HEMER,Hemerocallis,daylily,"[AL, AR, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",,,Introduced,,Photo,Spring and Summer,,Orange,Yes,Brown,No,Rapid,3.0,Short,None,Yes,Yes,Yes,Medium,Medium,60,16,Low,Intermediate,Summer,Summer,Fall
HENU,Helianthus nuttallii,Nuttall's sunflower,"[AZ, CA, CO, IA, ID, KS, MN, MO, MT, ND, NE, NM, NV, OK, OR, SD, UT, WA, WY]",Perennial,Forb/herb,Native,WSWS,Photo,"Spring, Summer, Fall",Slow,Yellow,Yes,Brown,Yes,Moderate,10,Moderate,,No,Yes,Yes,Low,Medium,20,14,None,Intolerant,Mid Summer,Summer,Fall
HESA3,Heuchera sanguinea,coralbells,"[AZ, NM, PA]",Perennial,Forb/herb,Native,,Photo,"Spring, Summer, Fall",Slow,Red,Yes,Brown,No,Moderate,1.5,Long,None,Yes,Yes,No,Low,Medium,55,10,None,Intermediate,Mid Spring,Summer,Fall
HETU,Helianthus tuberosus,Jerusalem artichoke,"[AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Forb/herb,Native,"N'EAST, NE&GP, SWSS",Photo,Spring and Summer,Slow,Yellow,Yes,Brown,No,Rapid,9.8,Moderate,None,Yes,Yes,No,High,Low,55,6,Low,Intermediate,Late Summer,Summer,Fall
HEUN,Helianthella uniflora,oneflower helianthella,"[CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Rapid,Yellow,Yes,Brown,No,Rapid,2.0,Short,None,Yes,No,No,High,Low,35,6,None,Intermediate,Spring,Summer,Fall
HEVI4,Heterotheca villosa,hairy false goldenaster,"[AZ, CA, CO, IA, ID, IL, IN, KS, MI, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY]",Perennial,"Subshrub, Forb/herb",Native,,Photo,Spring and Summer,Moderate,Yellow,Yes,Brown,No,Moderate,3.0,Short,None,Yes,Yes,No,Medium,Low,26,14,Low,Intolerant,Mid Summer,Summer,Fall
HEWH,Hesperoyucca whipplei,chaparral yucca,"[AZ, CA]",Perennial,"Forb/herb, Shrub, Subshrub",Native,,Photo,,,,,,,,,,,,,,,,,,,,,,
HEWH,Yucca whipplei,,,,,,,Photo,Spring and Summer,,White,Yes,Brown,Yes,Slow,4.0,Long,None,Yes,Yes,No,High,Low,14,14,Low,Intolerant,Late Spring,Summer,Summer
HIAC,Hibiscus aculeatus,comfortroot,"[AL, FL, GA, LA, MS, NC, SC, TX]",Perennial,Forb/herb,Native,,Photo,Summer,Rapid,White,Yes,Green,Yes,Rapid,3.0,Short,None,No,Yes,Yes,Medium,Medium,160,12,None,Intolerant,Summer,Summer,Fall
HIAL2,Hieracium albiflorum,white hawkweed,"[AK, CA, CO, ID, MT, NV, OR, SD, UT, WA, WI, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,White,Yes,Brown,No,Moderate,3.0,Moderate,None,No,Yes,No,High,Low,30,12,None,Intermediate,Late Spring,Summer,Summer
HIBE,Hilaria belangeri,curly-mesquite,"[AZ, NM, TX]",Perennial,Graminoid,Native,,,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,0.8,Moderate,None,Yes,Yes,Yes,High,Low,12,12,Low,Intolerant,Late Spring,Summer,Summer
HILA2,Hibiscus laevis,halberdleaf rosemallow,"[AL, AR, DC, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NE, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV]",Perennial,Forb/herb,Native,,Photo,"Spring, Summer, Fall",,Purple,Yes,Brown,No,Moderate,8.0,Moderate,None,No,Yes,Yes,Low,High,60,12,None,Intermediate,Mid Summer,Summer,Fall
HIOD,Hierochloe odorata,sweetgrass,"[AK, CT, MA, MD, ME, NH, NJ, NY, RI, VA, VT]",Perennial,Graminoid,Native,,Photo,"Spring, Summer, Fall",Moderate,Yellow,No,Black,No,Moderate,2.0,Moderate,None,Yes,Yes,No,Low,High,50,12,Medium,Intermediate,Mid Summer,Summer,Fall
HISC2,Hieracium scouleri,Scouler's woollyweed,"[CA, ID, MT, NV, OR, WA, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Orange,No,Brown,Yes,Moderate,2.0,Moderate,None,No,Yes,No,High,Medium,30,12,Low,Intolerant,Late Spring,Summer,Summer
HOBR2,Hordeum brachyantherum,meadow barley,"[AK, AZ, CA, CO, HI, ID, IL, IN, MD, ME, MO, MS, MT, NH, NJ, NM, NV, NY, OH, OR, PA, TX, UT, WA, WY]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,2.0,Moderate,None,Yes,Yes,Yes,Medium,Medium,80,6,Medium,Intolerant,Early Summer,Summer,Fall
HODI,Holodiscus discolor,oceanspray,"[AZ, CA, CO, ID, MT, NV, OR, UT, WA]",Perennial,Shrub,Native,,Photo,"Spring, Summer, Fall",,White,Yes,Brown,No,Moderate,12,Moderate,None,Yes,Yes,Yes,Low,High,24,12,None,Intolerant,Late Summer,Summer,Fall
HODU,Holodiscus dumosus,rockspirea,"[AZ, CO, ID, NM, NV, TX, UT, WY]",Perennial,Shrub,Native,,Photo,Summer and Fall,,White,Yes,Brown,No,Moderate,3.0,Moderate,None,Yes,Yes,No,High,Low,35,12,None,Intolerant,Late Summer,Summer,Fall
HOLA,Holcus lanatus,common velvetgrass,"[AK, AL, AR, AZ, CA, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV]",Perennial,Graminoid,Introduced,"Cal-IPC, HEAR, N'EAST, WSWS",Photo,Spring,Slow,Green,No,Yellow,No,Moderate,3.3,Short,None,Yes,Yes,No,Medium,Low,65,4,None,Intermediate,Summer,Summer,Fall
HOPU,Hordeum pusillum,little barley,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, WA, WI, WY]",Annual,Graminoid,Native,"NE&GP, SWSS",Photo,Spring,,Yellow,No,Brown,No,Rapid,1.2,,None,No,Yes,Yes,Low,Medium,60,8,Medium,Intolerant,Late Spring,Spring,Summer
HOVU,Hordeum vulgare,common barley,"[AK, AL, AR, AZ, CA, CO, CT, DC, FL, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WY]",Annual,Graminoid,Introduced,SWSS,Photo,"Fall, Winter and Spring",Slow,Yellow,No,Brown,Yes,Rapid,2.5,,None,No,Yes,No,Medium,Medium,100,10,High,Intolerant,Spring,Spring,Summer
HUCR,Hura crepitans,sandbox tree,[FL],Perennial,Tree,Native,,Photo,Spring,,Red,Yes,Brown,Yes,Rapid,70,,Severe,Yes,Yes,Yes,Low,,150,36,,Tolerant,Spring,Fall,Winter
HUTO,Hudsonia tomentosa,woolly beachheather,"[CT, DE, IA, IL, IN, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, RI, VA, VT, WI, WV]",Perennial,"Subshrub, Shrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,No,Slow,1.0,Long,None,Yes,No,No,High,Low,55,26,High,Intolerant,Late Spring,Summer,Fall
HYAS80,Hypericum ascyron,great St. Johnswort,"[CT, IA, IL, IN, KS, MA, MD, ME, MI, MN, MO, NE, NH, NJ, NY, OH, PA, VT, WI, WV]",Perennial,Forb/herb,Native,,,Spring and Summer,Slow,Yellow,Yes,Brown,No,Moderate,5.0,Long,None,No,Yes,Yes,Low,Medium,55,14,None,Intolerant,Late Summer,Summer,Fall
HYCA10,Hypericum calycinum,Aaron's beard,"[CA, OR, TN, WA]",Perennial,"Subshrub, Shrub",Introduced,,Photo,Spring and Summer,Slow,Yellow,Yes,,No,Rapid,0.8,Moderate,None,Yes,Yes,Yes,Medium,Medium,60,12,Low,Tolerant,Early Summer,,
HYCA4,Hydrophyllum capitatum,ballhead waterleaf,"[CA, CO, ID, MT, NV, OR, UT, WA, WY]",Perennial,Forb/herb,Native,,Photo,Spring,Slow,Purple,Yes,,No,Rapid,1.0,Moderate,None,No,Yes,Yes,Low,High,30,10,None,Tolerant,Early Spring,Spring,Spring
HYCI,Hypericum cistifolium,roundpod St. Johnswort,"[AL, FL, GA, LA, MS, NC, SC, TX]",Perennial,"Shrub, Forb/herb, Subshrub",Native,,Photo,Summer,,Yellow,Yes,Brown,No,Moderate,2.5,Moderate,None,Yes,Yes,No,Medium,Medium,55,9,None,Intolerant,Early Summer,Summer,Summer
HYCR3,Hypericum crux-andreae,St. Peterswort,"[AL, AR, DC, DE, FL, GA, KY, LA, MD, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA]",Perennial,"Subshrub, Shrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,No,Moderate,2.0,Moderate,None,Yes,Yes,No,Medium,Medium,48,12,None,Intermediate,Mid Summer,Summer,Fall
HYDE,Hypericum densiflorum,bushy St. Johnswort,"[AL, DC, DE, GA, LA, MA, MD, NC, NJ, NY, OK, PA, SC, TN, TX, VA, WV]",Perennial,Shrub,Native,,Photo,Spring,,Yellow,No,Brown,No,Slow,6.6,Moderate,None,Yes,Yes,Yes,Low,Medium,50,18,None,Tolerant,Late Spring,Spring,Summer
HYDE2,Hypericum denticulatum,coppery St. Johnswort,"[AL, DE, GA, IN, KY, MD, NC, NJ, NY, PA, SC, TN, VA]",Perennial,Forb/herb,Native,,Photo,Summer,,Yellow,Yes,Brown,No,Slow,2.0,Moderate,None,Yes,Yes,Yes,Medium,Medium,55,10,None,Intermediate,Early Summer,Summer,Summer
HYFA,Hypericum fasciculatum,peelbark St. Johnswort,"[AL, FL, GA, LA, MS, NC, SC]",Perennial,"Shrub, Subshrub",Native,,Photo,,,Yellow,Yes,Brown,No,Moderate,5.0,Short,,Yes,No,No,High,,70,12,,Intolerant,Spring,Spring,Summer
HYGE,Hypericum gentianoides,orangegrass,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Annual,Forb/herb,Native,,Photo,"Spring, Summer, Fall",,Yellow,Yes,Black,No,Rapid,2.0,,None,Yes,Yes,No,Medium,Low,55,6,None,Intermediate,Late Spring,Summer,Fall
HYHI2,Hypoxis hirsuta,common goldstar,"[AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV]",Perennial,Forb/herb,Native,,Photo,Spring,Slow,Yellow,Yes,Black,No,Moderate,0.8,Moderate,None,No,Yes,Yes,Medium,Medium,55,7,None,Intermediate,Early Spring,Spring,Summer
HYLI,Hymenocallis liriosme,spring spiderlily,"[AL, AR, LA, MS, OK, TX]",Perennial,Forb/herb,Native,,Photo,Spring,,White,Yes,Green,No,Rapid,3.0,Long,None,No,Yes,Yes,Low,Medium,60,12,None,Intolerant,Mid Spring,Spring,Summer
HYMO,Hymenoclea monogyra,singlewhorl burrobrush,"[AZ, CA, NM, NV, TX]",Perennial,"Subshrub, Shrub",Native,,Photo,,,White,No,White,No,,2.0,Short,,Yes,Yes,No,High,,80,12,,,Spring,Spring,Fall
HYOC,Hydrophyllum occidentale,western waterleaf,"[AZ, CA, ID, NV, OR, UT]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,,White,Yes,Brown,No,Moderate,1.5,Short,None,No,Yes,No,Medium,Medium,24,14,None,Tolerant,Late Spring,Spring,Summer
HYOCO,Hymenocallis occidentalis var. occidentalis,Northern spiderlily,"[AL, AR, FL, GA, IL, IN, KY, LA, MO, MS, NC, TN]",Perennial,Forb/herb,Native,,,,,,,,,,,,,,,,,,,,,,,,
HYOCO,Hymenocallis caroliniana,,,,,,,Photo,Spring and Summer,Slow,White,Yes,Brown,No,Moderate,2.0,Moderate,None,Yes,Yes,Yes,Low,High,55,10,None,Intermediate,Mid Summer,Summer,Fall
HYPR,Hypericum prolificum,shrubby St. Johnswort,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,"Shrub, Subshrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,No,Moderate,3.2,Moderate,None,Yes,Yes,Yes,Low,High,55,10,None,Intermediate,Late Spring,Summer,Summer
HYPU,Hypericum punctatum,spotted St. Johnswort,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,Forb/herb,Native,,Photo,Summer,Slow,Yellow,Yes,Brown,No,Moderate,3.0,Moderate,None,Yes,Yes,Yes,Low,Medium,55,10,None,Tolerant,Early Summer,Summer,Summer
HYQU3,Hydrangea quercifolia,oakleaf hydrangea,"[AL, DC, FL, GA, LA, MS, NC, SC, TN]",Perennial,Shrub,Native,,Photo,Spring and Summer,,White,Yes,Brown,No,Rapid,6.0,Moderate,None,Yes,Yes,Yes,Medium,Medium,60,14,None,Intolerant,Late Spring,Summer,Fall
IBSE,Iberis sempervirens,evergreen candytuft,"[MI, NC, NH, NY, TN, UT]",Perennial,"Subshrub, Forb/herb",Introduced,,Photo,Spring and Summer,,White,Yes,Brown,No,Moderate,1.0,Moderate,None,Yes,Yes,No,Medium,Medium,65,8,None,Intermediate,Early Summer,Summer,Summer
ILAM2,Ilex amelanchier,sarvis holly,"[AL, FL, GA, LA, MS, NC, SC]",Perennial,"Shrub, Tree",Native,,,Spring,,Yellow,No,Red,Yes,Slow,16,Long,Slight,Yes,Yes,No,Medium,Medium,60,12,None,Tolerant,Mid Spring,Summer,Fall
ILCA,Ilex cassine,dahoon,"[AL, FL, GA, HI, LA, MS, NC, SC, TX]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,No,Red,Yes,Moderate,26,Short,Slight,Yes,Yes,Yes,Low,High,65,12,Low,Tolerant,Spring,Summer,Fall
ILCO,Ilex coriacea,large gallberry,"[AL, FL, GA, LA, MS, NC, SC, TX, VA]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,White,No,Black,Yes,Moderate,12,Moderate,None,No,Yes,Yes,Low,High,70,16,None,Tolerant,Late Spring,Summer,Fall
ILCO80,Ilex cornuta,Chinese holly,"[AL, KY, NC]",Perennial,"Shrub, Tree",Introduced,,Photo,Spring and Summer,,White,No,Red,Yes,Moderate,8.0,Moderate,None,Yes,Yes,No,Medium,Medium,60,18,Low,Intolerant,Early Spring,Spring,Fall
ILCR2,Ilex crenata,Japanese holly,"[CT, DC, DE, LA, NC, NJ, NY, OH, PA, WA]",Perennial,"Tree, Shrub",Introduced,,Photo,Spring and Summer,,Yellow,No,Black,Yes,Slow,10,Long,None,Yes,Yes,No,Medium,Medium,55,10,None,Tolerant,Mid Spring,Spring,Summer
ILDE,Ilex decidua,possumhaw,"[AL, AR, DC, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,No,Red,Yes,Rapid,33,Moderate,Slight,Yes,Yes,Yes,Medium,Medium,60,12,None,Tolerant,Spring,Summer,Fall
